"Victoria, TX",47020,115384,92480,6421,657,1862,33,2706,50497,80.1,5.6,0.6,1.6,0,2.3,43.8
"Vineland-Millville-Bridgeton, NJ",47220,156898,98430,31741,1746,1907,59,5523,42457,62.7,20.2,1.1,1.2,0,3.5,27.1
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,1671683,997082,522409,6828,58017,2064,57381,89567,59.6,31.3,0.4,3.5,0.1,3.4,5.4
"Visalia-Porterville, CA",47300,442179,265618,7196,6993,15176,509,18424,268065,60.1,1.6,1.6,3.4,0.1,4.2,60.6
"Waco, TX",47380,234906,164037,34767,1473,3220,107,5805,55471,69.8,14.8,0.6,1.4,0,2.5,23.6
"Warner Robins, GA",47580,139900,88626,39998,475,3403,185,3853,8515,63.3,28.6,0.3,2.4,0.1,2.8,6.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,5582170,3058820,1438436,22791,517458,4008,205513,770795,54.8,25.8,0.4,9.3,0.1,3.7,13.8
"Waterloo-Cedar Falls, IA",47940,167819,148085,11859,317,1908,210,3303,5268,88.2,7.1,0.2,1.1,0.1,2,3.1
"Wausau, WI",48140,134063,122446,841,634,7146,32,1741,2992,91.3,0.6,0.5,5.3,0,1.3,2.2
"Wenatchee-East Wenatchee, WA",48300,110884,88057,364,1105,871,152,3001,29726,79.4,0.3,1,0.8,0.1,2.7,26.8
"Wheeling, WV-OH",48540,147950,140051,4647,197,748,17,2044,1056,94.7,3.1,0.1,0.5,0,1.4,0.7
"Wichita, KS",48620,623061,496456,48057,6908,21164,471,22734,72082,79.7,7.7,1.1,3.4,0.1,3.6,11.6
"Wichita Falls, TX",48660,151306,120059,13908,1577,2715,105,4141,23001,79.3,9.2,1,1.8,0.1,2.7,15.2
"Williamsport, PA",48700,116111,107573,5203,217,671,25,2001,1559,92.6,4.5,0.2,0.6,0,1.7,1.3
"Wilmington, NC",48900,362315,289247,51467,2057,3196,186,6934,19459,79.8,14.2,0.6,0.9,0.1,1.9,5.4
"Winchester, VA-WV",49020,128472,112767,6279,377,1631,53,2647,9451,87.8,4.9,0.3,1.3,0,2.1,7.4
"Winston-Salem, NC",49180,477717,332645,96928,1841,6937,248,9344,49274,69.6,20.3,0.4,1.5,0.1,2,10.3
"Worcester, MA",49340,798552,683361,33314,1976,31815,246,18762,75422,85.6,4.2,0.2,4,0,2.3,9.4
"Yakima, WA",49420,243231,155056,2320,10568,2560,204,9109,109470,63.7,1,4.3,1.1,0.1,3.7,45
"York-Hanover, PA",49620,434972,385135,24344,942,5407,123,8695,24397,88.5,5.6,0.2,1.2,0,2,5.6
"Youngstown-Warren-Boardman, OH-PA",49660,565773,484851,61576,1007,3394,108,10383,15185,85.7,10.9,0.2,0.6,0,1.8,2.7
"Yuba City, CA",49700,166892,107081,4280,3040,18525,574,10384,45302,64.2,2.6,1.8,11.1,0.3,6.2,27.1
"Yuma, AZ",49740,195751,137881,3931,3056,2324,306,7510,116912,70.4,2,1.6,1.2,0.2,3.8,59.7
